1	4	5	6	7	8	14	16	17	18	19	20	21	124	125	126	127	128	129	130	131	132	133	134	135	136	0	137	0	4	4
1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	100	100	100	100	100	100	100	100	100
3	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200
3	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101	101
4	4	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	4	102	102	4	102	4	4
201	201	103	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201
201	201	201	104	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201
201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	105	201	201	201	201
108	108	108	108	108	9	108	108	108	108	108	108	108	11	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108
10	10	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	202	10	10	10
10	10	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	10	10	10
12	12	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	12	12	12
12	12	203	203	203	203	203	22	203	203	203	203	203	13	203	203	203	203	203	203	203	203	203	203	203	203	203	203	12	12	12
203	203	203	203	203	107	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203
15	15	110	110	110	110	110	110	110	15	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	15	110	15	15	15	15
15	15	204	204	204	204	109	204	204	15	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	15	204	15	15	15	15
113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	113	111	112
115	115	115	115	115	115	115	115	114	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115
117	117	117	117	117	117	117	117	117	116	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117
119	119	119	119	119	119	119	119	119	119	118	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119	119
121	121	121	121	121	121	121	121	121	121	121	120	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121
123	123	123	123	123	123	123	123	123	123	123	123	122	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123
203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	203	23	203
12	12	203	203	203	203	203	203	203	203	203	203	203	13	203	203	203	203	203	203	203	203	203	203	203	203	203	203	12	12	12
